Price,Close,High,Low,Open,Volume
Ticker,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA
Date,,,,,
2023-05-25,13.521227836608887,13.966407268069666,13.407750677660292,13.818014124249407,856980
2023-05-28,13.416481018066406,13.617248572426007,13.355378247482657,13.521228981551184,285268
2023-05-29,13.215714454650879,13.573603542297999,13.006217692706251,13.416481178955236,913066
2023-05-30,13.617247581481934,13.861659478493587,13.180797349158317,13.215713334445697,1283332
2023-05-31,13.399023056030273,13.791828115946206,13.285545890727843,13.617248181812768,1737049
2023-06-01,13.721996307373047,13.7481830896924,13.37283560244286,13.399023217225016,999069
2023-06-04,13.704538345336914,14.184633810014589,13.63470636856156,13.721996755762166,2753002
2023-06-05,13.704538345336914,14.053699061676507,13.704538345336914,13.704538345336914,1235975
2023-06-06,13.512499809265137,13.809286122756866,13.477583821352157,13.704538159017929,655705
2023-06-07,13.093507766723633,13.695808757709285,13.049862574341994,13.512499615676642,906712
2023-06-08,13.154609680175781,13.311732029535428,12.945113769338088,13.09350691429714,383973
2023-06-11,13.608519554138184,13.704538313868106,13.163340078870421,13.15461087367784,579304
2023-06-12,13.538687705993652,13.835474025655072,13.529958500718237,13.6085196832713,349431
2023-06-13,13.425209999084473,13.608519140239272,13.320462037347847,13.538687165748186,926794
2023-06-14,13.154609680175781,13.660891880931585,13.145881308237941,13.425209189354867,702380
2023-06-15,12.98875904083252,13.433938478518598,12.97130063192118,13.154609763176461,811918
2023-06-18,13.52995777130127,13.64343493637546,13.076049111004508,12.988759560344754,1618532
2023-06-19,13.433938980102539,13.94022120295589,13.364107006775374,13.529957735311697,3116675
2023-06-20,13.250630378723145,13.529958283346057,13.189526775239766,13.433939524247636,696487
2023-06-21,13.014945983886719,13.311732279375024,13.006216779322294,13.250629512349585,949017
2023-06-22,13.093507766723633,13.346648883581777,12.936385407134852,13.014946586929241,617710
2023-06-25,12.761805534362793,13.346648950819809,12.54358040381802,13.093507832686385,1566721
2023-06-26,12.96257209777832,12.997488082701475,12.665785809700125,12.761804560123117,971441
2023-07-04,12.936385154724121,13.224442253374535,12.927656782388341,12.962572769119824,353313
2023-07-05,12.657057762145996,13.049862836547618,12.630870979175974,12.936385667060426,447582
2023-07-06,12.41264533996582,12.83163718027824,12.220606996924568,12.65705724681473,682594
2023-07-09,12.20314884185791,12.543580343558942,11.984923712361486,12.41264559884621,409568
2023-07-10,12.43883228302002,12.569767026698269,12.046027219522474,12.203148745443812,392271
2023-07-11,12.578495979309082,12.622141170480692,12.133316527791672,12.438832033530158,4751098
2023-07-12,12.77053451538086,12.77053451538086,12.395187031039335,12.57849617078022,608688
2023-07-13,12.779263496398926,12.86655304607913,12.630870346233523,12.770534291692071,484581
2023-07-16,12.683243751525879,12.805450118510905,12.665786174792458,12.779263337179387,169661
2023-07-17,13.0760498046875,13.09350821522329,12.48247799833877,12.683244724723368,1622950
2023-07-18,13.241900444030762,13.486312347110033,13.049862103951373,13.076048885451316,1210106
2023-07-19,13.241900444030762,13.241900444030762,13.241900444030762,13.241900444030762,0
